Rank,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
1,33,22,82,21,15,3,9365185.0,313.6,57.2,67.8,1.71,45.2,16.0,365.0,882.0,181.0
2,30,20,69,17,10,3,8045111.5,304.2,50.5,67.2,1.71,62.3,14.0,287.0,763.0,163.0
3,37,20,76,20,9,2,6473089.5,304.6,55.6,70.8,1.77,50.9,13.0,300.0,855.0,175.0
4,28,18,62,15,8,2,5790585.5,306.8,61.1,69.6,1.75,47.5,8.0,274.0,661.0,148.0
5,27,28,101,24,11,1,5679575.0,297.4,56.0,64.7,1.75,56.7,12.0,385.0,1156.0,238.0
6,24,21,76,19,8,2,5538470.5,295.4,58.1,63.5,1.71,54.7,7.0,324.0,835.0,180.0
7,32,25,89,21,4,2,4885906.5,285.8,68.5,69.7,1.79,50.0,5.0,323.0,1042.0,203.0
8,31,27,93,19,8,0,4501050.0,296.3,60.7,66.4,1.77,44.9,16.0,332.0,1052.0,249.0
9,26,23,73,16,8,1,4193954.0,294.5,62.0,68.1,1.74,53.0,3.0,306.0,806.0,169.0
10,40,25,82,18,5,1,4148546.5,301.3,48.3,64.0,1.76,46.8,10.0,315.0,889.0,236.0
11,24,28,96,22,7,1,4126366.0,301.3,53.9,65.6,1.78,52.2,11.0,360.0,1054.0,267.0
12,47,22,72,16,6,0,4022628.0,294.8,54.8,66.1,1.73,61.5,6.0,292.0,817.0,155.0
13,37,27,89,20,7,1,3960141.8,292.6,58.7,65.7,1.75,57.1,4.0,339.0,1020.0,216.0
14,40,22,74,17,7,0,3833559.8,295.2,64.7,70.8,1.79,50.4,5.0,273.0,867.0,167.0
15,39,26,96,24,10,0,3819678.5,285.8,65.7,67.8,1.75,54.6,5.0,376.0,1092.0,223.0
16,35,23,81,19,9,1,3701034.5,283.2,66.5,65.8,1.74,50.8,4.0,304.0,928.0,203.0
17,38,28,98,20,7,1,3614972.3,287.6,65.3,67.4,1.77,47.9,7.0,350.0,1142.0,246.0
18,39,19,69,17,4,1,3492842.0,310.6,55.1,69.2,1.78,47.3,11.0,254.0,770.0,187.0
19,34,26,93,22,8,0,3441290.8,279.6,65.3,66.7,1.75,45.9,8.0,352.0,1050.0,241.0
20,34,27,94,22,6,1,3424353.8,289.0,64.9,65.2,1.73,44.3,10.0,351.0,1054.0,240.0
21,42,14,46,10,4,1,3397372.8,291.13,60.33,65.8,1.77,49.94,7.0,196.0,497.0,112.0
22,35,25,90,22,3,1,3371705.5,294.3,66.9,68.5,1.78,47.7,4.0,342.0,1001.0,240.0
23,27,21,71,17,7,0,3322393.0,302.6,58.6,67.0,1.74,51.8,11.0,288.0,742.0,203.0
24,25,26,90,22,6,1,3243014.3,298.4,56.7,67.7,1.76,45.9,5.0,342.0,1009.0,217.0
25,38,15,51,13,4,1,3242156.0,299.9,61.8,70.2,1.79,57.8,6.0,195.0,573.0,129.0
26,22,34,109,22,5,1,3086369.3,293.5,62.8,64.8,1.76,50.8,12.0,400.0,1251.0,270.0
27,35,22,74,17,6,0,2969608.0,314.5,51.7,65.2,1.76,53.9,4.0,300.0,786.0,214.0
28,33,19,70,18,5,1,2936027.5,296.7,56.9,68.7,1.78,51.2,6.0,266.0,789.0,174.0
29,30,9,30,8,3,1,2918132.3,291.13,60.33,65.8,1.77,49.94,1.0,112.0,334.0,83.0
30,39,24,84,20,3,0,2905349.3,297.9,59.4,67.3,1.79,52.6,13.0,296.0,946.0,227.0
31,41,28,102,25,6,1,2879883.5,293.2,62.8,70.2,1.78,45.3,8.0,385.0,1144.0,267.0
32,29,18,60,14,6,1,2878867.8,295.6,55.1,66.8,1.78,49.5,3.0,209.0,697.0,154.0
33,29,23,77,18,8,0,2713563.5,301.6,58.7,69.3,1.77,52.0,7.0,286.0,910.0,156.0
34,38,21,60,11,5,1,2596169.8,281.4,67.7,64.4,1.78,49.0,2.0,211.0,678.0,161.0
35,32,27,97,22,4,0,2520574.5,284.2,69.4,69.1,1.77,50.7,9.0,357.0,1130.0,238.0
36,26,28,88,18,4,1,2508173.8,299.0,52.9,66.3,1.76,52.9,9.0,334.0,967.0,238.0
37,33,27,93,20,5,1,2478979.8,304.4,56.6,69.7,1.78,46.4,12.0,335.0,1075.0,225.0
38,35,17,56,13,3,0,2422078.8,294.0,61.7,68.2,1.78,53.0,7.0,192.0,635.0,153.0
39,33,26,91,21,3,0,2392044.3,306.1,56.7,68.7,1.78,48.9,11.0,332.0,1061.0,203.0
40,35,24,82,19,6,0,2390199.5,289.6,62.3,67.1,1.81,50.4,9.0,255.0,999.0,196.0
41,36,26,85,16,3,1,2367521.3,290.9,60.7,64.6,1.79,41.0,6.0,283.0,966.0,249.0
42,41,26,88,20,1,1,2350239.5,298.2,54.8,64.6,1.78,48.0,10.0,297.0,994.0,257.0
43,39,26,79,16,4,1,2227040.5,289.0,61.4,63.7,1.77,54.6,7.0,273.0,885.0,225.0
44,40,29,93,18,2,1,2091274.3,291.1,65.6,65.7,1.79,48.4,8.0,305.0,1075.0,249.0
45,37,18,62,15,5,0,2085364.8,303.9,57.9,67.9,1.77,55.5,6.0,236.0,692.0,164.0
46,34,28,99,21,2,0,2045968.1,288.0,58.7,63.0,1.74,44.5,13.0,363.0,1088.0,288.0
47,28,27,97,22,3,0,2014282.9,299.2,55.0,64.8,1.78,49.3,7.0,337.0,1114.0,263.0
48,38,25,91,21,5,0,1974962.0,303.4,52.6,68.0,1.76,50.4,10.0,347.0,1046.0,216.0
49,30,27,91,19,5,0,1940890.1,304.8,57.3,65.3,1.77,52.2,8.0,345.0,1023.0,226.0
50,32,28,89,17,4,0,1934250.4,307.4,58.4,68.7,1.79,48.7,6.0,325.0,1030.0,206.0
51,31,30,99,19,3,0,1902481.1,271.9,64.4,63.0,1.75,61.1,2.0,340.0,1169.0,233.0
52,30,24,81,18,2,0,1863783.0,284.8,67.4,64.0,1.77,46.0,6.0,293.0,912.0,223.0
53,28,28,95,19,2,1,1814790.1,312.2,52.5,65.1,1.78,46.4,8.0,343.0,1075.0,250.0
54,41,23,86,20,3,0,1794140.5,304.7,57.9,67.8,1.75,46.0,12.0,344.0,930.0,230.0
55,35,20,66,13,2,1,1770400.0,277.7,65.4,62.7,1.75,46.9,4.0,223.0,771.0,168.0
56,32,28,85,18,3,0,1762335.0,285.9,62.0,64.1,1.77,57.4,5.0,291.0,994.0,211.0
57,31,20,70,17,5,0,1744570.5,293.0,60.7,67.7,1.78,49.6,4.0,260.0,777.0,194.0
58,42,24,86,21,5,0,1718702.5,280.1,65.2,64.5,1.76,53.7,4.0,314.0,986.0,222.0
59,35,27,89,18,2,0,1702713.0,302.2,58.8,67.2,1.75,62.4,5.0,344.0,989.0,240.0
60,35,20,66,13,1,1,1666014.4,277.7,71.1,63.3,1.79,54.4,1.0,224.0,765.0,182.0
61,37,28,89,18,5,1,1644914.9,291.7,55.4,63.1,1.75,61.1,9.0,323.0,1025.0,220.0
62,42,24,72,12,1,1,1640750.3,287.0,61.6,64.4,1.75,50.4,5.0,258.0,798.0,204.0
63,40,23,81,17,2,0,1634515.0,282.9,56.7,64.6,1.79,56.2,2.0,259.0,984.0,194.0
64,33,10,34,9,3,0,1609350.3,291.13,60.33,65.8,1.77,49.94,7.0,117.0,388.0,90.0
65,39,26,82,15,2,0,1601177.4,289.1,64.4,69.2,1.78,40.3,7.0,290.0,927.0,221.0
66,32,26,86,19,2,0,1594587.3,269.7,73.4,65.3,1.77,51.1,7.0,280.0,1025.0,205.0
67,35,25,84,18,1,0,1589265.6,302.2,60.3,68.7,1.79,56.0,9.0,296.0,961.0,221.0
68,31,17,54,12,2,0,1585435.9,298.7,61.9,64.5,1.79,47.2,5.0,179.0,595.0,179.0
69,34,25,86,20,2,0,1566824.4,295.0,60.6,65.3,1.77,55.3,6.0,302.0,1004.0,211.0
70,47,22,67,14,4,0,1566307.5,281.5,65.9,68.0,1.75,54.3,5.0,259.0,784.0,142.0
71,34,34,111,23,4,0,1539578.0,287.3,65.3,67.6,1.76,56.5,12.0,389.0,1278.0,287.0
72,47,14,52,12,3,0,1538204.4,280.8,69.1,68.3,1.8,46.0,4.0,161.0,626.0,135.0
73,32,27,89,20,5,0,1468624.1,291.3,55.2,64.5,1.76,45.0,5.0,322.0,993.0,247.0
74,32,20,70,15,2,0,1450355.0,286.3,62.2,67.1,1.78,53.4,8.0,254.0,792.0,183.0
75,51,15,53,11,3,0,1418647.5,278.0,63.2,63.0,1.73,54.3,4.0,189.0,628.0,122.0
76,27,28,90,20,2,0,1405722.3,286.6,64.1,64.0,1.78,56.8,9.0,321.0,991.0,263.0
77,44,21,67,12,3,0,1369704.8,276.3,67.6,66.3,1.74,42.2,2.0,250.0,758.0,170.0
78,43,26,86,18,3,0,1354195.6,280.3,59.0,64.9,1.74,55.0,5.0,322.0,974.0,216.0
79,39,26,78,14,5,0,1353384.6,280.2,62.5,61.3,1.74,58.3,8.0,261.0,928.0,186.0
80,51,23,76,15,2,0,1328656.6,278.2,71.2,66.7,1.79,53.9,11.0,242.0,922.0,170.0
81,47,22,73,14,2,0,1328447.9,275.3,66.2,65.4,1.77,56.3,5.0,251.0,855.0,181.0
82,27,28,92,18,4,0,1327320.3,291.13,60.33,65.8,1.77,49.94,10.0,326.0,1024.0,267.0
83,31,31,104,21,2,0,1299801.5,289.7,63.4,64.9,1.76,55.3,7.0,380.0,1188.0,267.0
84,30,32,85,11,3,1,1298944.6,279.7,60.5,62.1,1.76,51.4,5.0,287.0,966.0,244.0
85,35,28,85,16,3,0,1290336.5,300.5,57.7,69.2,1.79,42.2,13.0,309.0,962.0,217.0
86,26,14,43,10,2,0,1278796.6,291.13,60.33,65.8,1.77,49.94,3.0,161.0,462.0,125.0
87,29,25,76,13,4,0,1228346.6,295.6,63.2,68.3,1.78,56.8,7.0,268.0,896.0,172.0
88,35,24,78,16,2,0,1224679.6,298.5,55.1,67.7,1.78,50.9,3.0,289.0,890.0,199.0
89,38,29,95,19,2,0,1211514.3,281.2,65.9,68.3,1.76,53.7,10.0,331.0,1127.0,211.0
90,55,22,72,14,2,0,1210104.3,289.8,56.7,62.7,1.77,43.0,4.0,246.0,800.0,218.0
