Rank,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
1,33,22,82,21,15,3,9365185.00,313.6,57.2,67.8,1.71,45.2,16,365,882,181
2,30,20,69,17,10,3,8045111.50,304.2,50.5,67.2,1.71,62.3,14,287,763,163
3,37,20,76,20,9,2,6473089.50,304.6,55.6,70.8,1.77,50.9,13,300,855,175
4,28,18,62,15,8,2,5790585.50,306.8,61.1,69.6,1.75,47.5,8,274,661,148
5,27,28,101,24,11,1,5679575.00,297.4,56.0,64.7,1.75,56.7,12,385,1156,238
6,24,21,76,19,8,2,5538470.50,295.4,58.1,63.5,1.71,54.7,7,324,835,180
7,32,25,89,21,4,2,4885906.50,285.8,68.5,69.7,1.79,50.0,5,323,1042,203
8,31,27,93,19,8,0,4501050.00,296.3,60.7,66.4,1.77,44.9,16,332,1052,249
9,26,23,73,16,8,1,4193954.00,294.5,62.0,68.1,1.74,53.0,3,306,806,169
10,40,25,82,18,5,1,4148546.50,301.3,48.3,64.0,1.76,46.8,10,315,889,236
11,24,28,96,22,7,1,4126366.00,301.3,53.9,65.6,1.78,52.2,11,360,1054,267
12,47,22,72,16,6,0,4022628.00,294.8,54.8,66.1,1.73,61.5,6,292,817,155
13,37,27,89,20,7,1,3960141.80,292.6,58.7,65.7,1.75,57.1,4,339,1020,216
14,40,22,74,17,7,0,3833559.80,295.2,64.7,70.8,1.79,50.4,5,273,867,167
15,39,26,96,24,10,0,3819678.50,285.8,65.7,67.8,1.75,54.6,5,376,1092,223
16,35,23,81,19,9,1,3701034.50,283.2,66.5,65.8,1.74,50.8,4,304,928,203
17,38,28,98,20,7,1,3614972.30,287.6,65.3,67.4,1.77,47.9,7,350,1142,246
18,39,19,69,17,4,1,3492842.00,310.6,55.1,69.2,1.78,47.3,11,254,770,187
19,34,26,93,22,8,0,3441290.80,279.6,65.3,66.7,1.75,45.9,8,352,1050,241
20,34,27,94,22,6,1,3424353.80,289.0,64.9,65.2,1.73,44.3,10,351,1054,240
21,42,14,46,10,4,1,3397372.80,,,,,,7,196,497,112
22,,25,90,22,3,1,3371705.50,294.3,66.9,68.5,1.78,47.7,4,342,1001,240
23,27,21,71,17,7,0,3322393.00,302.6,58.6,67.0,1.74,51.8,11,288,742,203
24,25,26,90,22,6,1,3243014.30,298.4,56.7,67.7,1.76,45.9,5,342,1009,217
25,38,15,51,13,4,1,3242156.00,299.9,61.8,70.2,1.79,57.8,6,195,573,129
26,22,34,109,22,5,1,3086369.30,293.5,62.8,64.8,1.76,50.8,12,400,1251,270
27,35,22,74,17,6,0,2969608.00,314.5,51.7,65.2,1.76,53.9,4,300,786,214
28,33,19,70,18,5,1,2936027.50,296.7,56.9,68.7,1.78,51.2,6,266,789,174
29,30,9,30,8,3,1,2918132.30,,,,,,1,112,334,83
30,39,24,84,20,3,0,2905349.30,297.9,59.4,67.3,1.79,52.6,13,296,946,227
31,41,28,102,25,6,1,2879883.50,293.2,62.8,70.2,1.78,45.3,8,385,1144,267
32,29,18,60,14,6,1,2878867.80,295.6,55.1,66.8,1.78,49.5,3,209,697,154
33,29,23,77,18,8,0,2713563.50,301.6,58.7,69.3,1.77,52.0,7,286,910,156
34,38,21,60,11,5,1,2596169.80,281.4,67.7,64.4,1.78,49.0,2,211,678,161
35,32,27,97,22,4,0,2520574.50,284.2,69.4,69.1,1.77,50.7,9,357,1130,238
36,26,28,88,18,4,1,2508173.80,299.0,52.9,66.3,1.76,52.9,9,334,967,238
37,33,27,93,20,5,1,2478979.80,304.4,56.6,69.7,1.78,46.4,12,335,1075,225
38,35,17,56,13,3,0,2422078.80,294.0,61.7,68.2,1.78,53.0,7,192,635,153
39,33,26,91,21,3,0,2392044.30,306.1,56.7,68.7,1.78,48.9,11,332,1061,203
40,35,24,82,19,6,0,2390199.50,289.6,62.3,67.1,1.81,50.4,9,255,999,196
41,36,26,85,16,3,1,2367521.30,290.9,60.7,64.6,1.79,41.0,6,283,966,249
42,41,26,88,20,1,1,2350239.50,298.2,54.8,64.6,1.78,48.0,10,297,994,257
43,39,26,79,16,4,1,2227040.50,289.0,61.4,63.7,1.77,54.6,7,273,885,225
44,40,29,93,18,2,1,2091274.30,291.1,65.6,65.7,1.79,48.4,8,305,1075,249
45,37,18,62,15,5,0,2085364.80,303.9,57.9,67.9,1.77,55.5,6,236,692,164
46,34,28,99,21,2,0,2045968.10,288.0,58.7,63.0,1.74,44.5,13,363,1088,288
47,28,27,97,22,3,0,2014282.90,299.2,55.0,64.8,1.78,49.3,7,337,1114,263
48,38,25,91,21,5,0,1974962.00,303.4,52.6,68.0,1.76,50.4,10,347,1046,216
49,30,27,91,19,5,0,1940890.10,304.8,57.3,65.3,1.77,52.2,8,345,1023,226
50,32,28,89,17,4,0,1934250.40,307.4,58.4,68.7,1.79,48.7,6,325,1030,206
51,31,30,99,19,3,0,1902481.10,271.9,64.4,63.0,1.75,61.1,2,340,1169,233
52,30,24,81,18,2,0,1863783.00,284.8,67.4,64.0,1.77,46.0,6,293,912,223
53,28,28,95,19,2,1,1814790.10,312.2,52.5,65.1,1.78,46.4,8,343,1075,250
54,41,23,86,20,3,0,1794140.50,304.7,57.9,67.8,1.75,46.0,12,344,930,230
55,35,20,66,13,2,1,1770400.00,277.7,65.4,62.7,1.75,46.9,4,223,771,168
56,32,28,85,18,3,0,1762335.00,285.9,62.0,64.1,1.77,57.4,5,291,994,211
57,31,20,70,17,5,0,1744570.50,293.0,60.7,67.7,1.78,49.6,4,260,777,194
58,42,24,86,21,5,0,1718702.50,280.1,65.2,64.5,1.76,53.7,4,314,986,222
59,35,27,89,18,2,0,1702713.00,302.2,58.8,67.2,1.75,62.4,5,344,989,240
60,35,20,66,13,1,1,1666014.40,277.7,71.1,63.3,1.79,54.4,1,224,765,182
61,37,28,89,18,5,1,1644914.90,291.7,55.4,63.1,1.75,61.1,9,323,1025,220
62,42,24,72,12,1,1,1640750.30,287.0,61.6,64.4,1.75,50.4,5,258,798,204
63,40,23,81,17,2,0,1634515.00,282.9,56.7,64.6,1.79,56.2,2,259,984,194
64,33,10,34,9,3,0,1609350.30,,,,,,7,117,388,90
65,39,26,82,15,2,0,1601177.40,289.1,64.4,69.2,1.78,40.3,7,290,927,221
66,32,26,86,19,2,0,1594587.30,269.7,73.4,65.3,1.77,51.1,7,280,1025,205
67,35,25,84,18,1,0,1589265.60,302.2,60.3,68.7,1.79,56.0,9,296,961,221
68,31,17,54,12,2,0,1585435.90,298.7,61.9,64.5,1.79,47.2,5,179,595,179
69,34,25,86,20,2,0,1566824.40,295.0,60.6,65.3,1.77,55.3,6,302,1004,211
70,47,22,67,14,4,0,1566307.50,281.5,65.9,68.0,1.75,54.3,5,259,784,142
71,34,34,111,23,4,0,1539578.00,287.3,65.3,67.6,1.76,56.5,12,389,1278,287
72,47,14,52,12,3,0,1538204.40,280.8,69.1,68.3,1.8,46.0,4,161,626,135
73,32,27,89,20,5,0,1468624.10,291.3,55.2,64.5,1.76,45.0,5,322,993,247
74,32,20,70,15,2,0,1450355.00,286.3,62.2,67.1,1.78,53.4,8,254,792,183
75,51,15,53,11,3,0,1418647.50,278.0,63.2,63.0,1.73,54.3,4,189,628,122
76,27,28,90,20,2,0,1405722.30,286.6,64.1,64.0,1.78,56.8,9,321,991,263
77,44,21,67,12,3,0,1369704.80,276.3,67.6,66.3,1.74,42.2,2,250,758,170
78,43,26,86,18,3,0,1354195.60,280.3,59.0,64.9,1.74,55.0,5,322,974,216
79,39,26,78,14,5,0,1353384.60,280.2,62.5,61.3,1.74,58.3,8,261,928,186
80,51,23,76,15,2,0,1328656.60,278.2,71.2,66.7,1.79,53.9,11,242,922,170
81,47,22,73,14,2,0,1328447.90,275.3,66.2,65.4,1.77,56.3,5,251,855,181
82,27,28,92,18,4,0,1327320.30,,,,,,10,326,1024,267
83,31,31,104,21,2,0,1299801.50,289.7,63.4,64.9,1.76,55.3,7,380,1188,267
84,30,32,85,11,3,1,1298944.60,279.7,60.5,62.1,1.76,51.4,5,287,966,244
85,,28,85,16,3,0,1290336.50,300.5,57.7,69.2,1.79,42.2,13,309,962,217
86,26,14,43,10,2,0,1278796.60,,,,,,3,161,462,125
87,29,25,76,13,4,0,1228346.60,295.6,63.2,68.3,1.78,56.8,7,268,896,172
88,35,24,78,16,2,0,1224679.60,298.5,55.1,67.7,1.78,50.9,3,289,890,199
89,38,29,95,19,2,0,1211514.30,281.2,65.9,68.3,1.76,53.7,10,331,1127,211
90,55,22,72,14,2,0,1210104.30,289.8,56.7,62.7,1.77,43.0,4,246,800,218
91,30,28,88,17,1,0,1205730.50,288.8,62.1,66.7,1.76,41.7,16,325,963,241
92,33,32,100,19,2,0,1179881.90,281.3,67.8,66.3,1.75,46.4,8,348,1168,248
93,43,28,90,17,3,0,1168072.80,287.9,64.4,68.2,1.79,55.3,4,313,1072,215
94,37,29,93,19,4,0,1158799.80,287.6,54.3,65.8,1.74,52.4,2,354,1065,229
95,34,27,87,17,4,0,1143451.80,292.5,63.7,65.0,1.77,50.0,7,301,999,233
96,44,7,22,6,1,0,1138810.00,,,,,,6,65,240,78
97,33,26,76,14,2,0,1115321.80,290.3,57.8,61.0,1.73,61.3,8,282,843,201
98,36,27,86,17,2,0,1086964.00,287.3,68.2,68.1,1.78,53.2,14,298,1010,205
99,,29,86,16,3,0,1086714.40,295.3,60.9,66.8,1.8,41.2,6,292,983,226
100,38,26,86,17,3,0,1083787.00,289.4,61.1,69.4,1.78,46.0,9,309,991,210
101,35,18,64,14,3,0,1083155.40,286.7,63.8,64.9,1.79,44.7,7,212,747,170
102,29,27,75,11,4,0,1075275.80,309.3,45.6,63.4,1.74,45.3,9,298,774,228
103,30,27,93,20,2,0,1067809.10,290.1,63.6,66.1,1.73,54.8,7,357,1047,228
104,30,25,77,15,1,0,1064066.00,285.1,59.6,65.7,1.76,48.6,7,279,856,227
105,30,30,104,22,1,0,1027313.94,306.9,61.4,68.8,1.77,49.1,13,395,1159,261
106,36,31,102,22,2,0,1025631.75,288.0,52.9,64.8,1.79,59.0,7,334,1198,262
107,40,21,65,13,3,0,1024899.50,303.3,53.9,69.3,1.78,39.5,7,260,703,176
108,27,28,85,16,3,0,1007218.50,284.7,68.3,66.2,1.79,59.4,6,286,1006,203
109,23,9,30,7,3,0,1004034.90,,,,,,5,132,318,71
110,31,27,84,17,1,0,1003362.60,294.7,57.5,66.2,1.81,45.9,9,275,957,252
111,44,26,83,15,2,0,991660.20,291.5,67.0,67.9,1.79,42.5,6,306,937,213
112,47,28,86,16,1,0,989840.90,289.7,60.1,68.9,1.78,48.2,5,304,1007,207
113,,29,87,16,2,0,979576.40,,,,,,11,295,1004,226
114,38,23,75,15,2,0,948927.50,298.3,64.4,71.6,1.77,42.6,5,284,870,160
115,32,26,77,12,1,0,922706.56,287.2,60.9,63.1,1.75,53.4,6,271,871,205
116,42,12,40,10,2,0,921468.44,,,,,,,,,
117,36,21,66,13,3,0,908556.50,297.9,60.1,68.4,1.77,44.3,7,249,723,177
118,,31,95,18,2,0,903458.94,275.3,69.9,62.3,1.79,48.4,3,305,1125,238
119,31,26,82,15,2,0,899985.00,300.0,64.6,69.6,1.81,41.0,6,286,943,212
120,32,30,94,19,1,0,898430.20,288.2,52.0,62.0,1.75,46.1,2,332,1059,266
121,30,21,69,16,1,0,835171.00,291.7,56.3,62.9,1.76,43.6,6,239,768,206
122,51,19,62,12,1,0,774522.44,269.7,68.0,65.5,1.8,57.5,,,,
123,49,20,54,8,2,0,773025.40,280.2,64.2,59.3,1.78,44.7,7,177,568,204
124,28,27,80,15,1,0,768584.90,289.6,62.4,66.7,1.78,51.5,7,282,907,221
125,38,24,68,12,2,0,768200.30,292.0,58.5,66.0,1.79,49.6,3,238,772,180
126,28,15,48,9,3,0,760430.00,,,,,,7,183,529,118
